충전소,충전량(kWh,충전일수,주소,X좌표,Y좌표,시군구명,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,주차면,음식점,교통량,생산가능인
이마트 연수점,7994.79000,356,"인천광역시 연수구 경원대로 184 , 주차장 옥상",126.68112,37.40422,연수구,2,1,2,2,856,49,16,12,388761.00000,818,547.00000,65807.00000
인천경제산업정보테크노파크,56706.87000,481,인천광역시 연수구 갯벌로 12,126.65584,37.38254,연수구,0,0,3,3,236,121,13,7,102813.00000,588,976.00000,61914.00000
인천공항 정부합동청사,8148.95000,437,"인천광역시 중구 공항로424번길 47 , 정문 주차장",126.46134,37.44039,중구,0,0,1,0,30,10,0,0,295.00000,150,117.00000,488.00000
인천공항물류단지 행정지원센터,3976.65000,125,인천광역시 중구 공항동로 296번길 69,126.47748,37.47891,중구,0,0,0,0,47,4,0,2,50.00000,9,140.00000,2754.00000
인천광역시 교통연수원,2078.84000,93,인천광역시 계양구 경명로 990,126.74032,37.56270,계양구,0,9,0,0,125,12,8,1,5712.00000,133,513.00000,27973.00000
인천교통공사 본사,5140.67000,163,인천광역시 남동구 경인로 674,126.70853,37.46982,남동구,0,4,0,3,694,27,23,15,12438.00000,1464,747.00000,130463.00000
인천나비공원 주차장,3330.10000,129,인천광역시 부평구 청천동 125-3,126.69700,37.52071,부평구,0,3,1,0,567,11,7,6,5048.00000,589,522.00000,56551.00000
인천서구청,11003.50000,232,인천광역시 서구 서곶로 307,126.67559,37.54503,서구,2,11,0,8,267,60,7,9,18139.00000,576,911.00000,45067.00000
인천서구청 제1주차장,3224.46000,206,"인천광역시 서구 탁옥로51번길 26 , 서구청후문 주차타워 지상 1층",126.67598,37.54606,서구,2,11,0,7,272,57,7,9,18139.00000,569,899.00000,44998.00000
인천서구청소년수련관,4030.45000,157,인천광역시 서구 원창로 92,126.65922,37.51760,서구,0,3,0,7,401,24,12,5,4730.00000,744,604.00000,65092.00000
인천시청,58794.76000,480,"인천광역시 남동구 정각로 29 , 정문 우측 경비실 앞",126.70470,37.45625,남동구,1,9,1,1,1059,77,24,27,22711.00000,2628,842.00000,173808.00000
인천아시아드주경기장 D1주차장,31039.17000,219,인천광역시 서구 연희동 187-8,126.66883,37.54895,서구,2,13,0,7,304,61,10,9,25647.00000,614,900.00000,52466.00000
인천아시안게임 남동경기장 1주차장,10145.37000,174,인천광역시 남동구 수산동 394-54,126.73346,37.43923,남동구,2,5,0,1,306,39,9,10,21312.00000,472,900.00000,60212.00000
인천업사이클 에코센터,23101.29000,449,인천광역시 미추홀구 매소홀로 292번길 7,126.66944,37.45183,미추홀구,2,6,0,7,697,35,15,17,42512.00000,1890,710.00000,138111.00000
인천전력관리처,10283.15000,304,인천광역시 부평구 주부토로 238,126.73162,37.51709,부평구,1,15,2,3,662,116,23,15,459373.00000,1178,755.00000,139566.00000
인천정보산업테크노파크,2382.64000,84,인천광역시 서구 로봇랜드로 155-11,126.61095,37.51974,서구,0,0,0,0,59,14,0,0,1020.00000,54,334.00000,9809.00000
인천직할,35338.48000,590,인천광역시 부평구 주부토로 246,126.72712,37.51691,부평구,1,10,2,1,734,113,17,15,451275.00000,1234,721.00000,144568.00000
인천항 갑문홍보관,2217.08000,88,"인천광역시 중구 월미로 376 (북성동1가, 인천항갑문)",126.60415,37.46711,중구,0,0,0,0,163,0,1,3,1543.00000,335,329.00000,2100.00000
인천항 크루즈터미널,37.93000,11,인천광역시 연수구 국제항만대로 438,126.59156,37.42469,연수구,0,0,0,0,23,0,1,0,,0,270.00000,3361.00000
장수서창 공영주차장,8414.03000,209,인천광역시 남동구 서창동 558-3,126.74758,37.43577,남동구,2,4,0,0,192,43,9,6,22610.00000,455,867.00000,54118.00000
중부지방고용노동청 별관 앞,53635.05000,650,인천광역시 남동구 구월3동 1111-6  중부지방고용노동청 별관 앞,126.69954,37.45113,남동구,0,9,3,2,814,76,22,26,20876.00000,2317,843.00000,148827.00000
차이나타운 주차장,13346.03000,407,인천광역시 중구 신포로27번길 80,126.62134,37.47408,중구,0,7,1,6,376,38,13,20,3541.00000,1097,371.00000,42763.00000
청라에너지,36130.49000,552,인천광역시 서구 봉수대로 696,126.66355,37.53822,서구,2,4,1,10,269,77,11,9,20460.00000,911,855.00000,71397.00000
청라중앙호수공원 2주차장,10253.31000,213,인천광역시 서구 경서동 638-5,126.63640,37.52815,서구,0,2,2,8,172,66,8,2,3217.00000,618,498.00000,58830.00000
하나로마트 인천점,6853.27000,208,인천광역시 계양구 아나지로 341,126.73058,37.52606,계양구,0,18,2,5,842,97,25,15,54483.00000,1480,758.00000,155623.00000
한국환경공단(기후대기관),8303.00000,179,인천광역시 서구 환경로 42 기후대기관,126.63853,37.56914,서구,0,0,0,0,29,19,0,0,633.00000,1,335.00000,1265.00000
현대시장 공영주차장,1234.69000,52,인천광역시 동구 송림동 49-172,126.64725,37.47702,동구,4,6,1,5,560,41,26,24,10210.00000,941,596.00000,67036.00000
홈플러스 가좌점,1813.40000,126,"인천광역시 서구 가정로151번길 11 , 지하주차장 1층 M0구역",126.67070,37.49761,서구,0,7,1,13,983,77,12,9,9334.00000,1025,665.00000,73601.00000
홈플러스 계산점,11688.85000,318,인천광역시 계양구 오조산공원로 14,126.73618,37.53947,계양구,4,27,3,1,660,106,26,20,53500.00000,1740,832.00000,148858.00000
홈플러스 구월점,5795.48000,298,"인천광역시 남동구 예술로 198 , 지하주차장 4층 I4구역",126.70195,37.45174,남동구,0,9,3,2,821,83,25,26,19507.00000,2309,854.00000,152359.00000
홈플러스 인천연수점,45747.62000,421,인천광역시 연수구 청능대로 210,126.68362,37.40599,연수구,1,2,2,2,922,54,15,12,396171.00000,884,531.00000,68072.00000
홈플러스 인하점,4000.83000,231,"인천광역시 미추홀구 소성로 6 , 주차장 옥상",126.65085,37.44706,미추홀구,0,3,1,3,345,32,17,14,79119.00000,1255,736.00000,94149.00000
홈플러스 작전점,17648.21000,331,인천광역시 계양구 계양대로 27,126.72126,37.52617,계양구,0,8,2,2,875,43,16,15,33725.00000,1335,645.00000,131408.00000
